code,title,keyword,source
001 Pharmaniaga,"Pharmaniaga's 1Q net profit up 20%, declares 0.8 sen dividend",Medical,https://www.theedgemarkets.com/article/pharmaniagas-1q-net-profit-20-declares-08-sen-dividend
002 Hershey opens R&D,Chocolate maker Hershey opens new R&D centre in Malaysia,Business,https://www.theedgemarkets.com/article/chocolate-maker-hershey-opens-new-rd-centre-malaysia
003 1MDB audit report,1MDB audit report tampering trial: Prosecution applies to call Arul Kanda as witness to testify against Najib,Technology,https://www.theedgemarkets.com/article/1mdb-audit-report-tampering-trial-arul-kanda-sought-prosecution-witness
004 Peninsula and sabah,PM: Govt committed to eradicating development gap between peninsula and Sabah,Politics,https://www.theedgemarkets.com/article/pm-govt-committed-eradicating-development-gap-between-peninsula-and-sabah
005 Sime Darby Plantation,"Sime Darby Plantation 1Q net profit grows 28%, expects lower FFB production in FY22",Business,https://www.theedgemarkets.com/article/sime-darby-plantation-1q-net-profit-grows-28-expects-lower-ffb-production-fy22
006 Rising Inflation,"Rising inflation affects consumer purchasing power, say economists",Economy,https://www.theedgemarkets.com/article/rising-inflation-affects-consumer-purchasing-power-say-economists
007 MHB net profit,MHB returns to the black in 1Q with RM2.72 million net profit,Politics,https://www.theedgemarkets.com/article/mhb-posts-rm272-million-net-profit-1q-vs-rm104-million-net-loss-year-earlier
008 Satellite in Malaysia,Musk's Starlink plans to provide internet service via satellite in Malaysia,Technology,https://www.theedgemarkets.com/article/musks-starlink-plans-provide-internet-service-satellite-malaysia
009 Bursa Malaysia,Bursa Malaysia ends higher at midday,Medical,https://www.theedgemarkets.com/article/bursa-malaysia-ends-higher-midday
010 Palm oil export tax,Zuraida: Govt still reviewing proposed cut in palm oil export tax,Social,https://www.theedgemarkets.com/article/zuraida-govt-still-reviewing-proposed-cut-palm-oil-export-tax
